"GDP based on PPP, share of world (Percent of World)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
India,2.532,2.634,2.725,2.824,2.819,2.846,2.888,2.9,3.008,3.096,3.168,3.172,3.017,3.1,3.192,3.306,3.43,3.445,3.562,3.678,3.71,3.769,3.833,3.949,4.085,4.259,4.43,4.632,4.79,5.075,5.371,5.582,5.634,5.77,5.894,6.026,6.167,6.313,6.467
European Union,31.119,30.412,30.489,30.273,29.606,29.189,29.05,28.829,28.732,28.646,28.456,28.159,26.013,25.613,25.554,25.857,25.445,25.112,25.202,25.062,24.878,24.875,24.538,24.039,23.515,22.983,22.637,22.235,21.767,21.024,20.406,19.993,19.356,18.727,18.24,17.778,17.341,16.918,16.518
